team_abbr,league,full_name,espn_id,logo_url,primary_color,secondary_color,competition
SEV,Spain,Sevilla,243,https://a.espncdn.com/i/teamlogos/soccer/500/243.png,#ffffff,#d81022,esp.1
VAL,Spain,Valencia,94,https://a.espncdn.com/i/teamlogos/soccer/500/94.png,#ffffff,#004996,esp.1
VIL,Spain,Villarreal,102,https://a.espncdn.com/i/teamlogos/soccer/500/102.png,#ffff00,#6cace4,esp.1
ARS,USA (MLS),Arsenal,359,https://a.espncdn.com/i/teamlogos/soccer/500/359.png,#e20520,#003399,usa.1
AUN,USA (MLS),Atlanta United FC,18418,https://a.espncdn.com/i/teamlogos/soccer/500/18418.png,#9d2235,#aa9767,usa.1
AUS,USA (MLS),Austin FC,20906,https://a.espncdn.com/i/teamlogos/soccer/500/20906.png,#00b140,#000000,usa.1
CCR,USA (MLS),Columbus Crew,183,https://a.espncdn.com/i/teamlogos/soccer/500/183.png,#000000,#fedd00,usa.1
CFI,USA (MLS),Chicago Fire FC,182,https://a.espncdn.com/i/teamlogos/soccer/500/182.png,#7ccdef,#ff0000,usa.1
CHA,USA (MLS),Charlotte FC,21300,https://a.espncdn.com/i/teamlogos/soccer/500/21300.png,#0085ca,#000000,usa.1
CIN,USA (MLS),FC Cincinnati,18267,https://a.espncdn.com/i/teamlogos/soccer/500/18267.png,#003087,#fe5000,usa.1
CRA,USA (MLS),Colorado Rapids,184,https://a.espncdn.com/i/teamlogos/soccer/500/184.png,#8a2432,#8ab7e9,usa.1
DAL,USA (MLS),FC Dallas,185,https://a.espncdn.com/i/teamlogos/soccer/500/185.png,#c6093b,#001f5b,usa.1
DUN,USA (MLS),D.C. United,193,https://a.espncdn.com/i/teamlogos/soccer/500/193.png,#000000,#d61018,usa.1
GAL,USA (MLS),LA Galaxy,187,https://a.espncdn.com/i/teamlogos/soccer/500/187.png,#00235d,#ffffff,usa.1
HDY,USA (MLS),Houston Dynamo FC,6077,https://a.espncdn.com/i/teamlogos/soccer/500/6077.png,#ff6b00,#101820,usa.1
IMI,USA (MLS),Inter Miami CF,20232,https://a.espncdn.com/i/teamlogos/soccer/500/20232.png,#231f20,#f7b5cd,usa.1
