name,country,season_year,matches_won,matches_lost,titles,grand_slams,headshot
Malek Jaziri,TUN,2019,6,17,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Jaziri_RG19_%288%29_%2848199238637%29.jpg/330px-Jaziri_RG19_%288%29_%2848199238637%29.jpg
Ernests Gulbis,LAT,2019,6,17,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Gulbis_BOR22_%2852083985673%29.jpg/330px-Gulbis_BOR22_%2852083985673%29.jpg
Laslo Djere,SRB,2019,21,22,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Djere_MCM22_%283%29_%2852036938695%29_edited.jpg/330px-Djere_MCM22_%283%29_%2852036938695%29_edited.jpg
Ilya Ivashka,BLR,2019,8,12,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Ivashka_MCM22_%281%29_%2852036455488%29.jpg/330px-Ivashka_MCM22_%281%29_%2852036455488%29.jpg
Jiri Vesely,CZE,2019,9,12,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Vesely_MLC21_%2851603150925%29.jpg/330px-Vesely_MLC21_%2851603150925%29.jpg
Denis Istomin,UZB,2019,4,12,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Istomin_WM16_%287%29_%2827802974453%29.jpg/330px-Istomin_WM16_%287%29_%2827802974453%29.jpg
Radu Albot,MDA,2019,31,26,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Radu_Albot_%282023_DC_Open%29_38_%28cropped%29.jpg/330px-Radu_Albot_%282023_DC_Open%29_38_%28cropped%29.jpg
Hubert Hurkacz,POL,2019,25,24,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Hubi_Hurkacz_%282023_DC_Open%29_01.jpg/330px-Hubi_Hurkacz_%282023_DC_Open%29_01.jpg
Roberto Carballes Baena,ESP,2019,19,20,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Carballes_Baena_RG19_%282%29_%2848199369226%29.jpg/330px-Carballes_Baena_RG19_%282%29_%2848199369226%29.jpg
Marcel Granollers,ESP,2019,8,12,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Granollers_RG21_%285%29_%2851375380137%29.jpg/330px-Granollers_RG21_%285%29_%2851375380137%29.jpg
Pablo Andujar,ESP,2019,15,18,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Andujar_WM19_%2834%29_%2848521860961%29.jpg/330px-Andujar_WM19_%2834%29_%2848521860961%29.jpg
Felix Auger Aliassime,CAN,2019,34,23,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/F%C3%A9lix_Auger-Aliassime_%282023_DC_Open%29_01_%28cropped%29.jpg/330px-F%C3%A9lix_Auger-Aliassime_%282023_DC_Open%29_01_%28cropped%29.jpg
Cameron Norrie,GBR,2019,21,25,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Norrie_MCM23_%2817%29_%2852883520940%29.jpg/330px-Norrie_MCM23_%2817%29_%2852883520940%29.jpg
Pablo Carreno Busta,ESP,2019,30,22,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Carreno_Busta_MCM22_%287%29_%2852035375722%29.jpg/330px-Carreno_Busta_MCM22_%287%29_%2852035375722%29.jpg
Fabio Fognini,ITA,2019,31,24,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Fabio_Fognini_2018_US_Open_%28cropped%29.jpg/330px-Fabio_Fognini_2018_US_Open_%28cropped%29.jpg
John Isner,USA,2019,30,18,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Isner_WM19_%2818%29_%2848522000702%29.jpg/330px-Isner_WM19_%2818%29_%2848522000702%29.jpg
Joao Sousa,POR,2019,26,31,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Sousa_J._RG22_%2818%29_%2852144295269%29.jpg/330px-Sousa_J._RG22_%2818%29_%2852144295269%29.jpg
Denis Shapovalov,CAN,2019,39,28,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Denis_Shapovalov%2C_Swiss_Indoors_Basel_2025_%28cropped%29.jpg/330px-Denis_Shapovalov%2C_Swiss_Indoors_Basel_2025_%28cropped%29.jpg
Mackenzie Mcdonald,USA,2019,10,12,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Mackie_McDonald_%282023_DC_Open%29_01.jpg/330px-Mackie_McDonald_%282023_DC_Open%29_01.jpg
Pablo Cuevas,URU,2019,24,23,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Pablo_Cuevas_%2847980143553%29_%28cropped%29.jpg/330px-Pablo_Cuevas_%2847980143553%29_%28cropped%29.jpg
Bradley Klahn,USA,2019,4,14,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Klahn_WMQ22_%2838%29_%2852190140917%29.jpg/330px-Klahn_WMQ22_%2838%29_%2852190140917%29.jpg
Diego Schwartzman,ARG,2019,40,26,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Schwartzman_WM19_%2824%29_%2848521748281%29.jpg/330px-Schwartzman_WM19_%2824%29_%2848521748281%29.jpg
Stefanos Tsitsipas,GRE,2019,55,25,3,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Tsitsipas_S._MCM22_%28cropped%29.jpg/330px-Tsitsipas_S._MCM22_%28cropped%29.jpg
Guido Andreozzi,ARG,2019,6,14,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Andreozzi_WM19_%2819%29_%2848521860296%29.jpg/330px-Andreozzi_WM19_%2819%29_%2848521860296%29.jpg
Martin Klizan,SVK,2019,10,20,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Klizan_RG19_%2831%29_%2848199185062%29.jpg/330px-Klizan_RG19_%2831%29_%2848199185062%29.jpg
Sam Querrey,USA,2019,24,17,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Querrey_RGQ22_%2833%29_%2852129529601%29.jpg/330px-Querrey_RGQ22_%2833%29_%2852129529601%29.jpg
Reilly Opelka,USA,2019,27,23,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Reilly_Opelka_%282024_DC_Open%29_03_%28cropped%29.jpg/330px-Reilly_Opelka_%282024_DC_Open%29_03_%28cropped%29.jpg
Matthew Ebden,AUS,2019,5,16,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Ebden_RG22_%2854%29_%2852144570795%29.jpg/330px-Ebden_RG22_%2854%29_%2852144570795%29.jpg
Lucas Pouille,FRA,2019,21,21,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Pouille_WMQ23_%2853061116442%29.jpg/330px-Pouille_WMQ23_%2853061116442%29.jpg
Frances Tiafoe,USA,2019,23,27,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/FrancesTiafo.jpg/330px-FrancesTiafo.jpg
Rafael Nadal,ESP,2019,60,9,4,2,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Rafael_Nadal_en_2024_%28cropped%29.jpg/330px-Rafael_Nadal_en_2024_%28cropped%29.jpg
Roger Federer,SUI,2019,55,11,4,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Roger_Federer_2015_%28cropped%29.jpg/330px-Roger_Federer_2015_%28cropped%29.jpg
Alexander Zverev,GER,2019,44,25,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Alexander_Zverev.jpg/330px-Alexander_Zverev.jpg
Marin Cilic,CRO,2019,22,20,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Cilic_MCM22_%2822%29_%2852036669749%29.jpg/330px-Cilic_MCM22_%2822%29_%2852036669749%29.jpg
Borna Coric,CRO,2019,27,23,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Coric_RG22_%2840%29_%2852144326399%29.jpg/330px-Coric_RG22_%2840%29_%2852144326399%29.jpg
Filip Krajinovic,SRB,2019,31,18,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Krajinovic_MCM23_%2821%29_%2852882575282%29.jpg/330px-Krajinovic_MCM23_%2821%29_%2852882575282%29.jpg
Gael Monfils,FRA,2019,37,21,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Gael_Monfils_%282025_DC_Open%29_01_%28cropped%29.jpg/330px-Gael_Monfils_%282025_DC_Open%29_01_%28cropped%29.jpg
Henri Laaksonen,SUI,2019,6,12,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Laaksonen_RG22_%285%29_%2852144554585%29.jpg/330px-Laaksonen_RG22_%285%29_%2852144554585%29.jpg
Thomas Fabbiano,ITA,2019,10,18,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Fabbiano_WM17_%286%29_%2836143141476%29.jpg/330px-Fabbiano_WM17_%286%29_%2836143141476%29.jpg
Bernard Tomic,AUS,2019,7,15,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Bernard_Tomi%C4%87_%282025_DC_Open%29_03_%28cropped%29.jpg/330px-Bernard_Tomi%C4%87_%282025_DC_Open%29_03_%28cropped%29.jpg
Janko Tipsarevic,SRB,2019,7,11,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Tipsarevic_RG19_%2810%29_%2848199022116%29.jpg/330px-Tipsarevic_RG19_%2810%29_%2848199022116%29.jpg
Cristian Garin,CHI,2019,32,24,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Garin_WM19_%281%29_%2848521991327%29.jpg/330px-Garin_WM19_%281%29_%2848521991327%29.jpg
Mikhail Kukushkin,KAZ,2019,22,26,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Kukushkin_WM19_%2819%29_%2848521781006%29.jpg/330px-Kukushkin_WM19_%2819%29_%2848521781006%29.jpg
Mischa Zverev,GER,2019,3,12,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Zverev_M._WM19_%287%29_%2848521851437%29.jpg/330px-Zverev_M._WM19_%287%29_%2848521851437%29.jpg
Federico Delbonis,ARG,2019,14,20,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Delbonis_MCM22_%287%29_%2852036670954%29.jpg/330px-Delbonis_MCM22_%287%29_%2852036670954%29.jpg
Feliciano Lopez,ESP,2019,13,16,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Lopez_F._RG21_%2810%29_%2851376399843%29.jpg/330px-Lopez_F._RG21_%2810%29_%2851376399843%29.jpg
Juan Ignacio Londero,ARG,2019,22,21,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Londero_RG19_%2828%29_%2848199195187%29.jpg/330px-Londero_RG19_%2828%29_%2848199195187%29.jpg
Lorenzo Sonego,ITA,2019,20,23,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Sonego_MCM22_%2822%29_%2852035355412%29.jpg/330px-Sonego_MCM22_%2822%29_%2852035355412%29.jpg
Hugo Dellien,BOL,2019,12,16,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Dellien_WM19_%2838%29_%2848521982532%29.jpg/330px-Dellien_WM19_%2838%29_%2848521982532%29.jpg
Egor Gerasimov,BLR,2019,10,7,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Gerasimov_RGQ22_%28114%29_%2852129855729%29.jpg/330px-Gerasimov_RGQ22_%28114%29_%2852129855729%29.jpg
Casper Ruud,NOR,2019,23,19,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Ruud_RG22_%2858%29_%2852144535415%29.jpg/330px-Ruud_RG22_%2858%29_%2852144535415%29.jpg
Corentin Moutet,FRA,2019,5,10,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Corentin_Moutet_%282025_DC_Open%29_01_%28cropped%29.jpg/330px-Corentin_Moutet_%282025_DC_Open%29_01_%28cropped%29.jpg
Alexander Bublik,KAZ,2019,15,15,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Sascha_Bublik_%282023_DC_Open%29_05_%28cropped%29.jpg/330px-Sascha_Bublik_%282023_DC_Open%29_05_%28cropped%29.jpg
Jannik Sinner,ITA,2019,11,10,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Jannik_Sinner_2025_US_Open.jpg/330px-Jannik_Sinner_2025_US_Open.jpg
Richard Gasquet,FRA,2019,17,18,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Gasquet_BOR22_%2852084213479%29.jpg/330px-Gasquet_BOR22_%2852084213479%29.jpg
Novak Djokovic,SRB,2020,41,5,5,1,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Novak_Djokovic_Paris_2024_Olympic_Games_%28cropped%29.jpg/330px-Novak_Djokovic_Paris_2024_Olympic_Games_%28cropped%29.jpg
Rafael Nadal,ESP,2020,27,7,2,1,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Rafael_Nadal_en_2024_%28cropped%29.jpg/330px-Rafael_Nadal_en_2024_%28cropped%29.jpg
Roberto Bautista Agut,ESP,2020,20,8,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Bautista_Agut_MCM23_%2814%29_%2852883313449%29.jpg/330px-Bautista_Agut_MCM23_%2814%29_%2852883313449%29.jpg
Dusan Lajovic,SRB,2020,14,16,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Lajovic_MCM22_%2824%29_%2852036456588%29.jpg/330px-Lajovic_MCM22_%2824%29_%2852036456588%29.jpg
Daniil Medvedev,RUS,2020,28,10,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Danill_Medvedev_Miami_2019_%28cropped%29.jpg/330px-Danill_Medvedev_Miami_2019_%28cropped%29.jpg
Karen Khachanov,RUS,2020,20,15,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Karen_Khachanov_%282024_DC_Open%29_02.jpg/330px-Karen_Khachanov_%282024_DC_Open%29_02.jpg
Alex De Minaur,AUS,2020,13,10,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Alex_de_Minaur_2024.jpg/330px-Alex_de_Minaur_2024.jpg
Denis Shapovalov,CAN,2020,17,15,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Denis_Shapovalov%2C_Swiss_Indoors_Basel_2025_%28cropped%29.jpg/330px-Denis_Shapovalov%2C_Swiss_Indoors_Basel_2025_%28cropped%29.jpg
